Framework Topic,Status,Term,Patterns,,,,Term Type,Source,Topic,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,composition-direct workforce,"['compos(e|ition)', 'representation', 'ma(d|k)e( |-)?up', ' only', ' few', 'majority', '\%', 'percent'],['employee', 'work(er|force)', 'contractor', '(base|low)( |-)level'],[7,15]",-,-,-,practice,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),disclosure of these rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,track composition-direct workforce,"['survey', 'accounting', 'review', 'summar(ize|y)', ' track', 'document', 'record', ' log(ged|s)? ', '(collect|compil|gather)(e|ed|es|ing|s) (data|info)', 'catalog', 'observe', 'analy'],['compos(e|ition)', 'representation', 'ma(d|k)e( |-)?up'],['employee', 'work(er|force)', 'contractor'],[10,7,10,15]",-,-,-,practice,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),disclosure of these rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,programs/initiatives/policies-talent attract,"['program', 'initiative', 'campaign', 'polic(ies|y)', 'partner'],['attract', ' hir(e(s|d)?|ing) ', 'recruit', ' f(ind|ound)', '(br(ing(ing|s)?|ought)|dr(aw(ing|s)?|ew)) in', ' entic(e|ing)', 'discover', 'acquir(e|ing)', ' gain', 'collect', 'gather', 'procur(e|ing)'],['talent', 'skill', 'leader'],[10,10,10,15]",-,-,-,practice,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,recruitment rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,programs/initiatives/policies-talent retain,"['program', 'initiative', 'campaign', 'polic(ies|y)', 'partner'],['retain', 'retention', ' keep', 'preserv(ation|e)', 'maintain', ' train', ' hold', 'develop', 'stay', 'loyal', 'do( not|n\'t) leave'],['talent', 'skill', 'leader'],[10,10,10,15]",-,-,-,practice,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,retention rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,programs/initiatives/policies-attract,"['program', 'initiative', 'campaign', 'polic(ies|y)', 'partner'],['attract', ' hir(e(s|d)?|ing) ', 'recruit', ' f(ind|ound)', '(br(ing(ing|s)?|ought)|dr(aw(ing|s)?|ew)) in', ' entic(e|ing)', 'discover', 'acquir(e|ing)', ' gain', 'collect', 'gather', 'procur(e|ing)'],['employ', 'work(er|force)', 'contractor', ' position', 'opportunit', 'opening', 'seek(er|ing)', 'applicant', 'vacanc'],[10,10,10,15]","['program', 'initiative', 'campaign', 'polic(ies|y)', 'partner'],[' hir(e(s|d)?|ing) ', 'recruit'],[7,15]",-,-,practice,ILPA Due Dilligence Questionanaire (DDQ) 2.0  - Institutional Limited Partners Association (ILPA),recruitment rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,programs/initiatives/policies-retain,"['program', 'initiative', 'campaign', 'polic(ies|y)', 'partner'],['retain', 'retention', ' keep', 'preserv(ation|e)', 'maintain', ' train', ' hold', 'develop', 'stay', 'loyal', 'do( not|n\'t) leave'],['employee', 'work(er|force)', 'contractor'],[10,10,10,15]",-,-,-,practice,ILPA Due Dilligence Questionanaire (DDQ) 2.0  - Institutional Limited Partners Association (ILPA),retention rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,absenteeism rate,"[' rate(s)? ', 'percent', 'amount', '(speed|pace) of', 'level'],['absenteeism'],[7,15]",-,-,-,outcome,Gender Benchmark - World Benchmarking Alliance,retention rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,employee tenure,"['tenure', '(how long|length)(.*)(employ| position|stay|loyal)'],['employee', 'work(er|force)', 'contractor'],[10,15]","['average', 'median', 'typical', 'usual'],['employee', 'work(er|force)', 'contractor'],['month', 'year', 'week'],[7,10,10,15]",-,-,outcome,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,retention rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,new hires diversity,"['compos(e|ition)', 'ma(d|k)e( |-)?up', 'divers'],['new', 'recent'],[' hir(e(s|d)?|ing) ', 'recruit', 'employee', 'work(er|force)', 'contractor'],[7,7,7,15]",-,-,-,outcome,MSCI Workforce Gender Diversity - MSCI,recruitment rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,percent change-promotions,"[' rate(s)? ', 'percent', 'amount', '(speed|pace) of'],['(employee|work(er|force)|contractor)(.*)promot(ed|ion)', 'promot(ed|ion)(.*)(employee|work(er|force)|contractor)'],['change'],[10,7,10,15]",-,-,-,outcome,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,promotion rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,recruitment costs,"[' cost(s)? '],[' hir(e(s|d)?|ing) ', 'recruit'],[7,15]",-,-,-,outcome,Embankment Project for Inclusive Capitalism - EPIC Coalition Report,recruitment rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,recruitment effectiveness,"[' rate(s)? ', 'percent', 'amount', 'level'],[' hir(e(s|d)?|ing) ', 'recruit'],['satisfaction', 'success', 'effective'],[10,7,10,15]",-,-,-,outcome,Embankment Project for Inclusive Capitalism - EPIC Coalition Report,recruitment rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,talent identification,"['within', 'department', 'inside', 'current', 'existing', 'internal'],[' f(ind|ound)', 'discover', 'identif', ' spot(s|ted)? ', 'select', 'single(d|s)? out'],['talent', 'skill', 'leader'],[10,7,7,15]",-,-,-,outcome,Embankment Project for Inclusive Capitalism - EPIC Coalition Report,recruitment rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,reputation-job seekers,"['reputation', 'known for', 'report', 'notori(ety|ous)', 'well(-| )known', 'famous'],['compan(y|ies)', 'firm', 'business', 'industry'],['employee', 'work(er|force)', 'contractor'],[10,10,10,15]",-,-,-,outcome,from Fall 2021 list,other R-R-P rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,internal hire,"[' hir(e(s|d)?|ing) ', 'recruit'],['within', 'inside', 'current', 'existing', 'internal'],[7,15]",-,-,-,practice,PI recommendation,promotion rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,external hire,"[' hir(e(s|d)?|ing) ', 'recruit'],['outside', 'external'],[7,15]",-,-,-,practice,PI recommendation,recruitment rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,attrition/turnover,"['turnover'],[' high', 'disruptive', 'work(er|force)', 'employee', 'contractor', ' rate', 'voluntary'],[5,15]","['attrition'],[' high', 'disruptive', 'work(er|force)', 'employee', ' rate', 'contractor'],[5,15]","[' quit', ' leav(er(s)?|ing) ', ' left '],[' high', ' rate'],[6,15]",-,outcome,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,turnover rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,quit/resign,"['resign', ' quit', ' leav(er(s)?|ing) ', ' left ', 'depart(ed|ing|s)'],['employee', 'work(er|force)', 'contractor'],[5,15]",-,-,-,outcome,from Fall 2021 list,turnover rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,labor shortage,"['shortage'],[' labo(u)?r', 'work(er|force)', 'employee', 'contractor'],[5,15]","['shortage'],['significant', 'persistent', 'pervasive', 'critical', 'massive', 'severe', 'sustained', 'well(-| )(known|documented)'],[10,15]","['shortage'],['opportunit', 'opening', 'vacanc'],[10,15]","[' position', 'opportunit', 'opening', ' labo(u)?r', 'work(er|force)', 'employee', 'contractor', 'vacanc'],['insufficient', 'unfilled', 'empty'],[5,15]",outcome,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,other R-R-P rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,skill shortage/gap,"['shortage', ' gap ', 'limited pool', 'vacanc'],['((low|un|semi|high)(-|ly | |))?skill', 'talent'],[7,15]",-,-,-,outcome,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,other R-R-P rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,talent attraction,"['attract', '(br(ing|ought)|draw(n)?) (in|to)'],['talent', 'skill'],[7,15]",-,-,-,outcome,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,recruitment rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,talent retention,"['retain', 'retention', ' keep', 'preserv(ation|e)', 'maintain', 'invest'],['talent', 'skill'],[7,15]",-,-,-,outcome,SASB slides: https://www.sasb.org/wp-content/uploads/2021/12/List-of-Proposed-Industries-for-DEI-Industry-Characteristics-Indicators.pdf,retention rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,background check,"[‘background’, ‘criminal (history|record)’],[‘check’, ‘screen’],[7,15]",-,-,-,practice,from Fall 2021 list,other R-R-P rates,
Recruitment/Retention/Promotion-Rates,Finalized (SET) pattern development,reject applicant,"[' den(i(a|e)|y)’, ‘reject’, 'disqualif'],['employ( |ment)', 'applicant', 'job seek', '(apply|seek)(ing)? (a|for) (position|job)'],[10,15]",-,-,-,practice,from Fall 2021 list,other R-R-P rates,
,,,,,,,,,,
Supply-Chain,Finalized (SET) pattern development,supply chain diversification,"['compos(e|ition)', 'ma(d|k)e( |-)?up', 'divers'],['(value|supply) chain', 'supplier', 'vendor', 'business-to-business', 'firm-to-firm'],[10,15]",-,-,-,practice,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),supplier diversity policy,
Supply-Chain,Finalized (SET) pattern development,policy-local sourcing,"['method', 'mechanism', 'procedure', 'system', 'infrastructure', 'process', 'polic(ies|y)', 'commit'],['sourc(e|ing)', 'suppl(ier|y)', 'vendor'],['local', 'resident', 'nearby', 'adjacent', 'neighborhood'],[7,10,10,15]",-,-,-,practice,Corporate Racial Equity Tracker - JUST Capital,supplier diversity policy,
Supply-Chain,Finalized (SET) pattern development,social supply chain,"['social supply chain'],['social supply chain'],[7,15]","['commit', 'reduc', 'eliminat', 'forb(a|i)d', 'eradicat', 'diminish', 'lower', 'lessen'],['social risk', 'trafficking', '(forced|child) labo(u)?r', 'sexual(ly)? exploit'],['sourc(e|ing)', 'suppl(ier|y)', 'vendor'],[7,10,10,15]",-,-,practice,Gender Equallity Scorecard - Equileap,supplier diversity policy,
Supply-Chain,Finalized (SET) pattern development,policy-supplier screening,"['mechanism', 'procedure', 'system', 'polic(ies|y)' ],['(risk|performance|complian|record|adher(anc)?e)(.*)(screen|evaluat|scor(e|ing)|monitor)', '(screen|evaluat|scor(e|ing)|monitor)(.*)(risk|performance|complian|record|adher(anc)?e)'],['sourc(e|ing)', 'suppl(ier|y)', 'vendor'],[7,10,10,15]",-,-,-,practice,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,worker protection in supply chains,
Supply-Chain,Finalized (SET) pattern development,monitor supplier adherence,"['complian', 'adher(anc)?e'],['monitor', 'track', 'watch'],['sourc(e|ing)', 'suppl(ier|y)', 'vendor'],[7,10,10,15]",-,-,-,practice,Gender Benchmark - World Benchmarking Alliance,worker protection in supply chains,
,,,,,,,,,,
Worker-Security/Precarity,Finalized (SET) pattern development,alternative/casual/gig work,"['work'],['alternative', 'casual', ' gig( |-)'],[5,15]",-,-,-,practice,from Fall 2021 list,disaggregation by temporary and permanent workers,
Worker-Security/Precarity,Finalized (SET) pattern development,contract labor/subcontracting,"['contract'],['employee', 'work(er|force|( )?place)', ' labo(u)?r'],[5,15]","['sub(-)?contract'],['sub(-)?contract'],[7,15]",-,-,practice,from Fall 2021 list,disaggregation by temporary and permanent workers,
Worker-Security/Precarity,Finalized (SET) pattern development,temporary work,"['work', 'employ(ee|ment)', ' labo(u)?r'],['temp( |orary)'],[5,15]",-,-,-,practice,from Fall 2021 list,disaggregation by temporary and permanent workers,
Worker-Security/Precarity,Finalized (SET) pattern development,part-time work,"['work', 'employ(ee|ment)', ' labo(u)?r'],['part( |-)?time'],[5,15]",-,-,-,practice,from Fall 2021 list,disaggregation by temporary and permanent workers,
Worker-Security/Precarity,Finalized (SET) pattern development,compensation-(un)fair,"['pa(ied|y)', ' wage(s)? ', 'compensat'],['theft', 'lost', 'living', 'fail(ed|s|ure to)', 'violat(e|ion)', 'un(der)?paid', 'manipulat(e(d)?|ing)'],[7,15]",-,-,-,practice,PI recommendation,living/fair wages,
Worker-Security/Precarity,Finalized (SET) pattern development,compensation-(not) timely,"['pa(ied|y)', ' wage(s)? ', 'compensat'],['timely', 'delay', 'on time', ' late ', 'overdue', 'postpone', 'with(held|hold)'],[7,15]",-,-,-,practice,PI recommendation,living/fair wages,
Worker-Security/Precarity,Finalized (SET) pattern development,written/formal contracts,"['contract'],['employee', 'work(er|force|( )?place)', ' labo(u)?r'],['formal', 'written'],[7,7,7,15]",-,-,-,practice,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,disaggregation by temporary and permanent workers,
Worker-Security/Precarity,Finalized (SET) pattern development,permanent employee ratio,"['ratio', 'percent', 'portion', 'share', 'amount', 'number'],['permanent(.*)versus', 'permanent(.*)(non( |-)permanent|temporary)'],['work', 'employ(ee|ment)', ' labo(u)?r', ' job'],[10,7,10,15]",-,-,-,practice,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,disaggregation by temporary and permanent workers,
Worker-Security/Precarity,Finalized (SET) pattern development,zero-hour work/contracts,"['work', 'employ(ee|ment)', ' labo(u)?r', 'contract'],['zero( |-)hour'],[5,15]",-,-,-,practice,ESRS S3 on Equal Opportunities - European Financial Reporting Advisory Group,disaggregation by temporary and permanent workers,
Worker-Security/Precarity,Finalized (SET) pattern development,employee satisfaction,"['employ(ee|ment)', 'work( conditions| environment|er|force|( )?place)', ' job', 'contractor'],['satisf(action|ied)', 'morale', 'happ(iness|y)', 'engag(ed|ement)', 'content', '(feel|felt)(s|ing)? value'],[5,15]",-,-,-,outcome,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,other worker security/precarity,
Worker-Security/Precarity,Finalized (SET) pattern development,employee wage premium,"['premium'],['employee wage'],[5,15]",-,-,-,practice,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,other worker security/precarity,
Worker-Security/Precarity,Finalized (SET) pattern development,living wage,"[' wage(s)? '],['living', 'poverty', 'starvation'],[5,15]",-,-,-,practice,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,living/fair wages,
Worker-Security/Precarity,Finalized (SET) pattern development,minimum wage,"[' wage(s)? '],['minimum'],[5,15]",-,-,-,practice,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,living/fair wages,
Worker-Security/Precarity,Finalized (SET) pattern development,number of hours worked,"['average', 'median', 'typical', 'usual', 'number', 'count'],['hours'],['work(ed|er|force)', 'employ(ee|ed|ment)', ' labo(u)?r'],[7,7,7,15]",-,-,-,practice,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,other worker security/precarity,
Worker-Security/Precarity,Finalized (SET) pattern development,report wage level breakdown,"['announc', ' report', 'disclos', 'publish', 'describ', 'detail', 'reveal', 'ma(de|k(e|ing)) public'],['(across|by)(.*)(type|level)'],['(-| )pa(id|y)', ' wage(s)? ', 'compensat', 'remunerat', 'salary'],[10,10,10,15]",-,-,-,practice,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,other worker security/precarity,
Worker-Security/Precarity,Finalized (SET) pattern development,access to secure employment,"['access', 'availib', 'attain', 'reach'],['secure', 'stable', 'reliab', 'steady', 'lasting', 'regular'],['employment', 'work ', ' job'],[7,5,7,15]",-,-,-,outcome,ESRS S3 on Equal Opportunities - European Financial Reporting Advisory Group,other worker security/precarity,
Worker-Security/Precarity,Finalized (SET) pattern development,access to water and sanitation,"['access', 'availib', 'attain', 'reach'],['water', 'sanitation', 'hygiene'],['employee', 'work(er|force|( )?place)', 'contractor'],[5,7,7,15]",-,-,-,outcome,ESRS S3 on Equal Opportunities - European Financial Reporting Advisory Group,other worker security/precarity,
,,,,,,,,,,
Worker-Voice/Protection,Finalized (SET) pattern development,gender transition guidelines/policies,"['guideline', 'polic(ies|y)'],['gender transition'],['work( conditions| environment|er|force|( )?place)', 'employee', 'contractor'],[7,7,7,15]",-,-,-,practice,HRC 2023 Corporate Equality Index - Human Rights Campaign,discrimination/ harassment prevention,
Worker-Voice/Protection,Finalized (SET) pattern development,go public,"['whistle(-| )?blow', 'worker', 'employee', 'contractor'],['(go(es|ing)|went) public'],[8,15]","['whistle(-| )?blow', 'worker', 'employee', 'contractor'],['expos(e|ing)', 'alleg', 'report', ' leak', 'br(ing(ing|s)?|ought) to light', 'disclos(e|ing)', 'uncover', 'unmask', 'document', ' claim', 'complain'],['publicly', '(in |to )(the )?public'],[10,10,10,15]",-,-,outcome,PI recommendation,whistleblower protections,
Worker-Voice/Protection,Finalized (SET) pattern development,harassment-employee,"['harass', 'bull(ie|y)', ' torment', ' teas(e|ing)', 'mistreat'],['employee', 'work(er|force|( )?place)', 'contractor'],[10,15]",-,-,-,outcome,PI recommendation,discrimination/ harassment prevention,
Worker-Voice/Protection,Finalized (SET) pattern development,inclusive culture,"['inclusive', 'friendly', 'support(ive|ed)', 'welcom(e|ing)', 'amicable', '(are|am|be|feel|felt) (value|belong|seen|heard|includ|understood)', 'empower'],['culture', 'work( conditions| environment|( )?place)', 'manage(ment|r)', 'boss ', 'leader'],[7,15]","['conditions', 'environment', 'work( )?place'],['work', 'employee', 'contractor'],['inclusive', 'friendly', 'support(ive|ed)', 'welcom(e|ing)', 'amicable', '(are|am|be|feel|felt) (value|belong|seen|heard|includ|understood)'],[10,10,10,15]",-,-,outcome,PI recommendation,discrimination/ harassment prevention,
Worker-Voice/Protection,Finalized (SET) pattern development,retaliation/reprisal,"['retaliat', 'reprisal', 'retribution'],['employee', 'work(er|force|( )?place)', 'contractor'],[12,15]",-,-,-,outcome,PI recommendation,discrimination/ harassment prevention,
Worker-Voice/Protection,Finalized (SET) pattern development,unsafe conditions,"['conditions', 'environment', 'work( )?place'],['work', 'employee', 'contractor'],['unsafe', 'dangerous', 'hazard', 'violen(ce|t)', 'abus(e|ive)', ' harm', ' threat', 'precarious', 'harass'],[10,10,10,15]",-,-,-,outcome,from Fall 2021 list,discrimination/ harassment prevention,
Worker-Voice/Protection,Finalized (SET) pattern development,toxic culture,"['malpractice', 'violat', 'non(-|)inclusive', 'toxic', 'hostile', '(not |un)friendly', '(not |un)welcom(e|ing)', ' cruel', 'disparag', 'exclus(ion|ive)', 'dismissive', 'abus(e|ive)', ' threat'],['culture', 'work( conditions| environment|( )?place)', 'manage(ment|r)', 'boss ', 'leader'],[7,15]","['(lack|void) of', ' no(ne|t)? ', 'lacking', 'loss of'],['support', 'communicat', 'protect', 'feedback', 'investigat', 'report', ' record', 'follow(-| )up', 'action', 'anonymity', 'confiden(ce|tiality)', 'integrity', ' trust', 'transparen', 'approachab', 'accountab', 'psychological(ly)? safe(ty)?', 'disclos', 'honest'],['culture', 'work( conditions| environment|( )?place)', 'manage(ment|r)', 'boss ', 'leader'],[7,10,15,15]","['fear(ing| of)', 'risk(ing| of)', '(scared|afraid) of'],['(lack of |in)action', 'retaliat', 'dismiss', 'judg(ed|ment)', 'sham(e|ing)', 'authority', 'embarrass', ' blame', 'offen(d|se)', 'terminat', ' fire(d)? ', 'promot(ed|ion) ', 'trouble', 'job (safety|security)', 'perc(eive|eption)', 'reputation', 'dismiss', 'relationship'],['culture', 'work( conditions| environment|( )?place)', 'manage(ment|r)', 'boss ', 'leader'],[7,10,15,15]",-,outcome,PI recommendation,discrimination/ harassment prevention,
Worker-Voice/Protection,Finalized (SET) pattern development,whistleblower protection,"['whistle(-| )?blow'],['protect', 'safeguard', 'preserv(ation|e)', 'shelter', 'shield', 'support', 'promot(e(d|s)?|ing|ion(s)?) ', 'defend(ed|ing|s)? ', ' listen', 'accept', 'bolster', 'assist'],[7,15]",-,-,-,practice,PI recommendation,whistleblower protections,
Worker-Voice/Protection,Finalized (SET) pattern development,worker committee,"['committee'],['employee', 'work(er|force|( )?place)', 'contractor', ' labo(u)?r'],[7,15]",-,-,-,practice,from Fall 2021 list,worker feedback,
Worker-Voice/Protection,Finalized (SET) pattern development,worker union,"['union'],['employee', 'work(er|force|( )?place)', 'contractor', ' labo(u)?r'],[5,15]",-,-,-,practice,from Fall 2021 list,collective bargaining agreements,
Worker-Voice/Protection,Finalized (SET) pattern development,report employee grievances/feedback,"['complaint', 'grievance', 'object', '(not|dis)( |-)?content', 'feedback'],['employee', 'work( conditions| environment|er|force|( )?place)', 'contractor'],['announc', ' report', 'disclos', 'publish', 'describ', 'detail', 'reveal', 'ma(de|k(e|ing)) public'],[7,10,10,15]",-,-,-,practice,Gender Equallity Scorecard - Equileap,grievance mechanisms,
Worker-Voice/Protection,Finalized (SET) pattern development,employee feedback system,"[' place', ' space', 'mechanism', 'procedure', 'system', 'infrastructure', 'process', 'polic(ies|y)' ],['feedback'],['employee', 'work(er|force|( )?place)', 'contractor'],[7,10,10,15]",-,-,-,practice,Gender Equallity Scorecard - Equileap,worker feedback,
Worker-Voice/Protection,Finalized (SET) pattern development,policy-decent jobs,"['polic(ies|y)'],['decent jobs'],[7,15]",-,-,-,practice,Gender Equallity Scorecard - Equileap,other worker voice/protection,
Worker-Voice/Protection,Finalized (SET) pattern development,policy-employee protection,"['polic(ies|y)', 'procedure'],['protect'],['employee', 'work(er|force|( )?place)', 'contractor'],[7,7,7,15]",-,-,-,practice,Gender Equallity Scorecard - Equileap,discrimination/ harassment prevention,
Worker-Voice/Protection,Finalized (SET) pattern development,policy-worker safety,"['polic(ies|y)', 'procedure'],['safe'],['employee', 'work( conditions| environment|er|force|( )?place)', 'contractor'],[7,7,7,15]",-,-,-,practice,Gender Equallity Scorecard - Equileap,other worker voice/protection,
Worker-Voice/Protection,Finalized (SET) pattern development,policy-anti-discrimination,"['polic(ies|y)', 'procedure'],['(anti|non)( |-)?discriminat'],['employee', 'work( conditions| environment|er|force|( )?place)', 'contractor'],[7,7,7,15]",-,-,-,practice,Gender Equallity Scorecard - Equileap,discrimination/ harassment prevention,
Worker-Voice/Protection,Finalized (SET) pattern development,policy-sexual harassment,"['polic(ies|y)', 'procedure'],['sexual harassment'],['employee', 'work( conditions| environment|er|force|( )?place)', 'contractor'],[7,7,7,15]",-,-,-,practice,Gender Equallity Scorecard - Equileap,discrimination/ harassment prevention,
Worker-Voice/Protection,Finalized (SET) pattern development,policy-fair hiring/recruiting,"['polic(ies|y)', 'procedure'],['fair', 'impartial', 'un(-)?prejudiced', 'equal (employment )?opportunit'],[' hir(e(s|d)?|ing) ', 'recruit'],[7,7,7,15]",-,-,-,practice,Gender Equallity Scorecard - Equileap,discrimination/ harassment prevention,
Worker-Voice/Protection,Finalized (SET) pattern development,policy-fair career advancement,"['polic(ies|y)', 'procedure'],['fair', 'impartial', 'un(-)?prejudiced', 'equal (employment )?opportunit'],['promot(ed|ion)', '(rise|climb|progress|move) up', 'career(.*)(progress|advanc|accelerat|enhanc)', '(progress|advanc|accelerat|enhanc)(.*)career'],[7,7,7,15]",-,-,-,practice,Gender Equallity Scorecard - Equileap,discrimination/ harassment prevention,
Worker-Voice/Protection,Finalized (SET) pattern development,policy-fair dismissal,"['polic(ies|y)', 'procedure'],['fair', 'impartial', 'un(-)?prejudiced', 'equal (employment )?opportunit'],['terminat(e|ion)', ' fire(d)? ', 'lay(-| )?off', 'involuntary turnover', 'dismiss'],[7,7,7,15]",-,-,-,practice,Gender Equallity Scorecard - Equileap,discrimination/ harassment prevention,
Worker-Voice/Protection,Finalized (SET) pattern development,track employee policy,"['polic(ies|y)', 'procedure'],['employee', 'work( conditions| environment|er|force|( )?place)', 'contractor'],['survey', 'accounting', 'review', 'summar(ize|y)', ' track', 'document', 'record', ' log(ged|s)? ', '(collect|compil|gather)(e|ed|es|ing|s) (data|info)', 'catalog', 'observe', 'analy'],[7,7,10,15]",-,-,-,practice,Gender Equallity Scorecard - Equileap,other worker voice/protection,
Worker-Voice/Protection,Finalized (SET) pattern development,report employee policy,"['polic(ies|y)', 'procedure'],['employee', 'work( conditions| environment|er|force|( )?place)', 'contractor'],['announc', ' report', 'disclos', 'publish', 'describ', 'detail', 'reveal', 'ma(de|k(e|ing)) public'],[7,7,10,15]",-,-,-,practice,Gender Equallity Scorecard - Equileap,other worker voice/protection,
Worker-Voice/Protection,Finalized (SET) pattern development,policy-fair compensation,"['polic(ies|y)', 'procedure'],['fair', 'impartial', 'un(-)?prejudiced', 'equal (employment )?opportunit'],['(-| )pa(id|y)', ' wage(s)? ', 'compensat', 'remunerat', 'salary'],[7,7,7,15]",-,-,-,practice,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,discrimination/ harassment prevention,
Worker-Voice/Protection,Finalized (SET) pattern development,policy-working hour,"['polic(ies|y)', 'procedure'],['working hour'],[7,15]",-,-,-,practice,IRIS+ Gender Lens Impact Theme - Global Impact Investing Network,other worker voice/protection,
Worker-Voice/Protection,Finalized (SET) pattern development,collective bargaining agreement,"['collective'],['bargain'],['employee', 'work( conditions| environment|er|force|( )?place)', 'contractor'],[7,7,7,15]","['collective bargaining agreement'],['employee', 'work( conditions| environment|er|force|( )?place)', 'contractor'],[7,15]",-,-,practice,from Fall 2021 list,collective bargaining agreements,
Worker-Voice/Protection,Finalized (SET) pattern development,grievance/complaints mechanism,"[' place', ' space', 'mechanism', 'procedure', 'system', 'infrastructure', 'process', 'polic(ies|y)' ],['complaint', 'grievance', 'object', '(not|dis)( |-)?content'],['employee', 'work(er|force|( )?place)', 'contractor'],[7,10,10,15]",-,-,-,practice,PI recommendation,grievance mechanisms,
Worker-Voice/Protection,Finalized (SET) pattern development,grievance mechanism review,"['mechanism', 'procedure', 'system', 'infrastructure', 'process', 'polic(ies|y)' ],['(assess|evaluat|summar|review)(.*)(complaint|grievance|object|(not|dis)( |-)?content)', '(complaint|grievance|object|(not|dis)( |-)?content)(.*)(assess|evaluat|summar|review)'],['employee', 'work(er|force|( )?place)', 'contractor'],[7,10,10,15]",-,-,-,practice,Gender Equallity Scorecard - Equileap,grievance mechanisms,
Worker-Voice/Protection,Finalized (SET) pattern development,hotline-employee,"['hot(-)?line'],['complaint', 'grievance', 'object', '(not|dis)( |-)?content'],['employee', 'work(er|force|( )?place)', 'contractor'],[7,7,7,15]",-,-,-,practice,from Fall 2021 list,grievance mechanisms,
Worker-Voice/Protection,Finalized (SET) pattern development,line manager,"['line manag(er|ment)'],[' train', 'grievance', 'complaint', 'hir(e|ing)', 'responsible', 'effective', 'conduct', 'anonymous', 'confidential', ' safe', ' trust'],[7,15]",-,-,-,practice,PI recommendation,grievance mechanisms,
Worker-Voice/Protection,Finalized (SET) pattern development,policy-worker freedom of association,"['polic(ies|y)', 'procedure'],['free(dom)? (of|to) associat'],['employee', 'work(er|force|( )?place)', 'contractor'],[7,7,7,15]",-,-,-,practice,from Fall 2021 list,collective bargaining agreements,
Worker-Voice/Protection,Finalized (SET) pattern development,listening to employees,"['listen', 'receptive', '(are|am|be|feel|felt) (seen|heard)', 'tune in', '(give|pay) attention', 'take into consideration'],['employee', 'work(er|force|( )?place)', 'contractor'],[7,15]",-,-,-,practice,As You Sow - Racial Justice Scorecard (DEI METRICS MAPPING Spreadsheet),grievance mechanisms,
